CustomerID,Name,Email,Phone,Address,JoinDate
1,Customer 1,customer1@example.com,123-456-781,Address 1,2022-08-21 17:41:33.568008
2,Customer 2,customer2@example.com,123-456-782,Address 2,2023-06-09 17:41:33.568122
3,Customer 3,customer3@example.com,123-456-783,Address 3,2023-09-10 17:41:33.568139
4,Customer 4,customer4@example.com,123-456-784,Address 4,2022-12-07 17:41:33.568145
5,Customer 5,customer5@example.com,123-456-785,Address 5,2023-10-01 17:41:33.568151
6,Customer 6,customer6@example.com,123-456-786,Address 6,2023-06-27 17:41:33.568158
7,Customer 7,customer7@example.com,123-456-787,Address 7,2023-10-23 17:41:33.568164
8,Customer 8,customer8@example.com,123-456-788,Address 8,2022-08-31 17:41:33.568171
9,Customer 9,customer9@example.com,123-456-789,Address 9,2023-12-08 17:41:33.568178
10,Customer 10,customer10@example.com,123-456-7810,Address 10,2022-06-22 17:41:33.568185
11,Customer 11,customer11@example.com,123-456-7811,Address 11,2023-07-09 17:41:33.568192
12,Customer 12,customer12@example.com,123-456-7812,Address 12,2022-08-29 17:41:33.568197
13,Customer 13,customer13@example.com,123-456-7813,Address 13,2024-01-14 17:41:33.568203
14,Customer 14,customer14@example.com,123-456-7814,Address 14,2023-01-22 17:41:33.568209
15,Customer 15,customer15@example.com,123-456-7815,Address 15,2023-07-22 17:41:33.568215
16,Customer 16,customer16@example.com,123-456-7816,Address 16,2023-05-24 17:41:33.568221
17,Customer 17,customer17@example.com,123-456-7817,Address 17,2022-09-24 17:41:33.568227
18,Customer 18,customer18@example.com,123-456-7818,Address 18,2023-07-15 17:41:33.568233
19,Customer 19,customer19@example.com,123-456-7819,Address 19,2023-04-13 17:41:33.568239
20,Customer 20,customer20@example.com,123-456-7820,Address 20,2024-08-04 17:41:33.568245
21,Customer 21,customer21@example.com,123-456-7821,Address 21,2024-07-07 17:41:33.568251
22,Customer 22,customer22@example.com,123-456-7822,Address 22,2022-06-12 17:41:33.568257
23,Customer 23,customer23@example.com,123-456-7823,Address 23,2022-08-25 17:41:33.568263
24,Customer 24,customer24@example.com,123-456-7824,Address 24,2024-02-10 17:41:33.568268
25,Customer 25,customer25@example.com,123-456-7825,Address 25,2024-07-25 17:41:33.568274
26,Customer 26,customer26@example.com,123-456-7826,Address 26,2024-02-25 17:41:33.568284
27,Customer 27,customer27@example.com,123-456-7827,Address 27,2024-02-11 17:41:33.568293
28,Customer 28,customer28@example.com,123-456-7828,Address 28,2025-01-27 17:41:33.568315
29,Customer 29,customer29@example.com,123-456-7829,Address 29,2022-09-30 17:41:33.568326
30,Customer 30,customer30@example.com,123-456-7830,Address 30,2024-08-21 17:41:33.568335
31,Customer 31,customer31@example.com,123-456-7831,Address 31,2023-12-19 17:41:33.568344
32,Customer 32,customer32@example.com,123-456-7832,Address 32,2023-11-27 17:41:33.568354
33,Customer 33,customer33@example.com,123-456-7833,Address 33,2023-05-07 17:41:33.568362
34,Customer 34,customer34@example.com,123-456-7834,Address 34,2024-12-22 17:41:33.568372
35,Customer 35,customer35@example.com,123-456-7835,Address 35,2024-03-05 17:41:33.568391
36,Customer 36,customer36@example.com,123-456-7836,Address 36,2023-05-04 17:41:33.568398
37,Customer 37,customer37@example.com,123-456-7837,Address 37,2024-11-08 17:41:33.568403
38,Customer 38,customer38@example.com,123-456-7838,Address 38,2022-08-15 17:41:33.568409
39,Customer 39,customer39@example.com,123-456-7839,Address 39,2022-07-04 17:41:33.568414
40,Customer 40,customer40@example.com,123-456-7840,Address 40,2022-12-17 17:41:33.568420
41,Customer 41,customer41@example.com,123-456-7841,Address 41,2024-11-26 17:41:33.568425
42,Customer 42,customer42@example.com,123-456-7842,Address 42,2024-05-16 17:41:33.568432
43,Customer 43,customer43@example.com,123-456-7843,Address 43,2024-01-08 17:41:33.568438
44,Customer 44,customer44@example.com,123-456-7844,Address 44,2024-06-07 17:41:33.568443
45,Customer 45,customer45@example.com,123-456-7845,Address 45,2023-11-23 17:41:33.568460
46,Customer 46,customer46@example.com,123-456-7846,Address 46,2023-02-17 17:41:33.568651
47,Customer 47,customer47@example.com,123-456-7847,Address 47,2024-01-15 17:41:33.568702
48,Customer 48,customer48@example.com,123-456-7848,Address 48,2023-07-30 17:41:33.568714
49,Customer 49,customer49@example.com,123-456-7849,Address 49,2022-09-15 17:41:33.568724
50,Customer 50,customer50@example.com,123-456-7850,Address 50,2023-03-30 17:41:33.568734
51,Customer 51,customer51@example.com,123-456-7851,Address 51,2023-01-19 17:41:33.568744
52,Customer 52,customer52@example.com,123-456-7852,Address 52,2024-08-14 17:41:33.568754
53,Customer 53,customer53@example.com,123-456-7853,Address 53,2023-02-28 17:41:33.568764
54,Customer 54,customer54@example.com,123-456-7854,Address 54,2023-07-30 17:41:33.568775
55,Customer 55,customer55@example.com,123-456-7855,Address 55,2023-03-13 17:41:33.568786
56,Customer 56,customer56@example.com,123-456-7856,Address 56,2025-01-05 17:41:33.568796
57,Customer 57,customer57@example.com,123-456-7857,Address 57,2024-12-21 17:41:33.568806
58,Customer 58,customer58@example.com,123-456-7858,Address 58,2022-12-04 17:41:33.568816
